CODIGO,MUNICIPIO,NOMBRE_ESTACION,Coordenada_x,Coordenada_Y,PRECIPITACION,TEMPERATURA,ALTITUD
5201502,Patia,Fonda La Citec,-77.0636111,2.1552778,1856,26.4,700
2120547,Bogota,Fontibon,-74.15,4.6833333,642,13,2518
1602506,Salazar,Francisco Romero,-72.8,7.7666667,2740,21.8,1000
2120551,Soacha,Fute,-74.2833333,4.6,662,10.9,2607
2401529,Samaca,Gachaneca,-73.56403,5.43596,1328,7.8,3400
1305503,Monteria,Galan,-75.9833333,8.6666667,1195,27.1,30
1401501,Santa Catalina,Galerazamba,-75.26326,10.80308,820,26.9,6
2125515,Lerida,Garcia Hda,-74.8833333,4.8666667,1485,27.6,350
3401501,Cumaribo,Gaviotas Las,-70.9261,4.56571,2673,26,171
2321506,La Gloria,Gloria La,-73.79786,8.62142,1552,28.2,40
2611505,Roldanillo,Gramas Las,-76.1166667,4.4666667,931,24.4,915
2118503,Guamo,Guamo,-74.97118,4.03924,1330,27.7,300
2901503,El Guamo,Guamo El,-74.97659,10.03652,1215,27.9,75
2120570,Guasca,Guasca,-73.8678611,4.8803333,794,13.2,2600
2701519,Santo Domingo,Guayabito,-75.15,6.55,3808,21,1700
2803504,Valledupar,Guaymaral,-73.6516667,9.8995556,1156,29.6,50
2610509,Sevilla,Heraclio Uribe,-75.9166667,4.2666667,2052,19.2,1540
2120616,El Colegio,Hidroparaiso,-74.4048333,4.5731667,1753,18.3,1678
3207504,Granada,Holanda La,-73.70896,3.51356,2443,25.6,360
2120548,Choconta,Iberia La,-73.7166667,5.0333333,831,12.1,2760
2609511,Guadalajara de Buga,Ica-Balboa,-76.30075,3.93131,1082,23.9,960
1201503,Chigorodo,Idema-Montecrist,-76.67558,7.65329,3347,26.4,40
2604501,Puerto Tejada,Ing Bengala,-76.4199722,3.2652963,1343,23.7,1003
2606501,Miranda,Ing Cauca,-76.3193135,3.2639921,1238,23.3,1008
2607505,Palmira,Ing Manuelita Po,-76.281125,3.5769306,1149,23.8,1020
2609510,El Cerrito,Ing Providencia,-76.2833333,3.6166667,1045,23.8,1025
2614506,Balboa,Ing Risaralda,-75.9,4.9,1610,23.7,900
2401509,Santa Sofia,Inst Agr Sta Sof,-73.60767,5.71169,1156,16.2,2300
2120554,Bogota,Inst Geofi Andes,-74.0666667,4.6333333,949,14,2600
2617502,Riosucio,Inst Los Fundado,-75.70082,5.42913,2219,18.6,1820
2108502,Iquira,Iquira,-75.63175,2.6510833,1844,23,1095
3501502,San Martin,Iraca Gja,-73.7,3.6833333,2540,25,400
1601502,Pamplona,Iser Pamplona,-72.6484722,7.3760556,933,14.9,2340
2401512,Fuquene,Isla del Santuar,-73.7383056,5.4702222,1045,14.4,2580
1401506,Cartagena,Islas del Rosari,-75.74786,10.18647,939,27.8,3
2619502,Andes,Ita Andes,-75.8843,5.68828,2101,22,1250
2119512,Fusagasuga,Ita Valsalice,-74.3928056,4.3929722,1063,20.1,1480
2622501,Ituango,Ituango,-75.77142,7.17718,1549,20.3,1575
2113502,Saldana,Jabalcon,-75.0191389,3.8586944,1436,28,425
